名称,纬度,经度
高新奇南门,22.57697992,113.9208391
安通达工业区,22.58200614,113.9236843
文阁合力五路口,22.79141677,113.8731829
博文学校,22.68576418,114.0342973
倚山花园,22.56287705,114.2321777
东湖公园南门调度室,22.55574875,114.1425315
观兰副站,22.70257097,114.0479889
978车队副站,22.72643076,114.3528338
M275年丰1,22.76873519,114.3279109
939田心副站,22.69728149,114.4273823
M278宝龙总站,22.70069685,114.3180262
M308坪地总站,22.77940401,114.3124924
M203线西丽副站,22.59900543,113.960757
365/E20线坪山总站,22.6945964,114.3925161
龙岗同乐总站,22.71761593,114.3129557
福田南,22.53751654,114.0720353
火车站西广场公交总站,22.5319586,114.1119739
福永桥头综合场站,22.68937815,113.8097031
钟表基地,22.76809873,113.8780493
盐田区党校,22.56630949,114.2407458
50小区,22.56508593,114.2376772
蓝色海月居,22.56381437,114.2355322
信息枢纽大厦,22.53816024,114.0513542
根玉路口,22.72394582,113.8910385
光侨立交西,22.72449341,113.8981623
光侨雅苑,22.72675113,113.9129525
海纳中心,22.72758076,113.9209305
裕安路口①,22.57037919,113.889857
上川路口①,22.57502467,113.8848691
西乡路口①,22.57979407,113.8798459
横坪沙湖路口,22.67921818,114.3195633
龙岐,22.57317127,114.4965925
葵涌办事处,22.63776166,114.4217183
大鹏新区行政服务大厅,22.64072857,114.4202649
沿江西乡北出口,22.57166929,113.8424365
御康华庭,22.70212982,113.9250729
水田社康中心,22.68851664,113.9590607
沿江桥底,22.57775855,113.836222
沿江大铲湾口,22.55938734,113.8520109
金湾西乡大道路口,22.56302901,113.8488831
福田高铁站,22.54073638,114.0517406
红树西岸,22.52755818,113.9622006
安托山总站,22.55382928,114.0040519
聚豪酒店,22.77652875,113.8292939
新玉路庄村公交总站,22.72874627,113.8601806
壆岗盛芳园总站,22.74101606,113.8123597
立健药业,22.68583364,113.9813107
龙华和平工业园总站,22.67348502,114.0169289
宝安中心医院①,22.582141,113.8774512
西乡立交②,22.58665477,113.873244
宝安交警大队①,22.64434925,113.8306821
怡丰酒店①,22.65433794,113.8225375
宝安艺术城①,22.57083424,113.8979899
国家基因库,22.58916731,114.4623713
大鹏文体中心,22.6018536,114.4684048
大鹏山庄,22.60207534,114.4737396
叠福新村,22.60066133,114.4775236
下沙新村,22.59984063,114.4758439
顺生物流,22.56944936,113.8440848
西湾公园南,22.58852167,113.8336967
一电科技,22.65077377,113.9152631
兴城百货,22.80583398,113.8582995
庄村二路中,22.72137962,113.850925
庄村商业街,22.72342877,113.8513789
红星国际新城,22.76169077,113.8283533
后亭桥,22.75159185,113.816119
南医大深圳医院,22.54857559,113.8918544
南医大深圳医院南,22.54615291,113.8925962
桔钓沙,22.55751711,114.5511338
绿荫路北,22.72608712,114.3615584
横岗中学,22.65257509,114.1819388
世纪晶源,22.75741685,113.9244228
水田社区①,22.68656823,113.9565956
岩汽车站①,22.68635018,113.9239106
官田村①,22.68310213,113.9383467
长城工业区②,22.68883232,113.9499154
宝城三区总站,22.55883453,113.9031934
宝安交通局运输局①,22.56390491,113.8963732
水厂路口,22.57195899,114.4931323
龙海家园公交总站,22.53717421,113.9025916
罗田社区总站,22.81217505,113.871692
楼村广场,22.78784763,113.9193163
象山大道中,22.8042474,113.8754459
兴华花园,22.58461761,113.8586184
松岗卫生监督所,22.78196041,113.8468401
上横朗场站,22.68357352,113.9729339
福安雅园总站,22.72648769,114.0222344
和山嘉宏路口,22.71612245,113.7887545
洪田工业区,22.70977094,113.8491615
楼岗大洋工业区,22.76836056,113.859681
公明中心换乘站③,22.78086685,113.8935202
松元厦地铁站东,22.72337366,114.0622193
石岩湖温泉,22.70746998,113.8989879
沙井洪田火山公园,22.70754174,113.8524395
仙田总站,22.76189303,114.2659703
阳光科技园,22.69930354,114.3157427
南浦花园,22.70724761,113.8426434
沙井南沙幼儿园,22.71558906,113.7936987
信维通信,22.72047876,113.7943549
西环电子中心,22.72604931,113.7950552
沙井西部义乌,22.73019771,113.7954118
凯嘉酒店,22.73723664,113.7960188
黄泥园,22.71033639,114.3796907
黄贝岭村总站,22.55388418,114.1357884
沙井京基百纳西场站,22.73189628,113.8002995
和平里公交总站,22.64738185,114.0072199
凤凰山公交综合场站,22.69048412,113.8393871
锦绣观园公交总站,22.6969561,114.0238917
清湖场站,22.67354652,114.027735
大浪新百丽总站,22.6928439,113.9737674
民治梅陇公交总站,22.63263833,114.0306518
牛湖大水田场站（1）,22.74263135,114.0885217
西环沙二新村,22.74188989,113.7964024
沙四社区,22.75090645,113.7971897
腾芳花园,22.71072003,113.7947475
大浪部九窝总站,22.6411551,113.9982439
观澜茗语华苑,22.75889017,114.0285657
观澜商业广场,22.69290989,114.0472415
观澜长坑村,22.68338221,114.0567118
民治上塘地铁公交接驳站,22.63902989,114.0077442
M309车队横岗场站,22.66072722,114.2033369
科技园场站,22.56116164,113.9340053
松福向兴路口,22.76478353,113.7949655
友谊假日宾馆,22.76328287,113.7929749
飞跃纸业,22.75738237,113.7901018
惠华建材,22.75321426,113.7898315
沙井晟龙厂,22.74955394,113.789534
深科技校沙井校区,22.74441983,113.7890814
蚝二学府花园,22.73979763,113.7886878
新沙天虹购物中心,22.73301025,113.7956331
宝能地产,22.50329751,113.93402
沙河信息园,22.5350028,113.9562549
中兴人才公寓东,22.5763759,113.9341612
沙井西站,22.73616425,113.7883774
松福沙一天桥,22.72840957,113.7877395
兴英科技东,22.72311637,113.7872558
和平街路口,22.71747925,113.7867751
松福裕达富,22.71195507,113.7862985
艾默生西门,22.70522107,113.7857307
翰宇药业集团,22.70088228,113.7850696
松发工业园,22.69672926,113.7850147
中兴通讯宿舍,22.57711427,113.9306845
虎山路口,22.62319893,114.0609968
阳光湾畔,22.62501522,114.0566446
